word,pos
강수,명사
강수량,명사
강습,명사
강심장,명사
강심제,명사
강아지,명사
강아지풀,명사
강압,명사
강압적,명사
강어귀,명사
강연,명사
강연장,명사
강연하다,동사
강요,명사
강요받다,동사
강요하다,동사
강우량,명사
강원,명사
강원도,명사
강원도민,명사
강의,명사
강의록,명사
강의료,명사
강의실,명사
강의하다,동사
강인하다,형용사
강자,명사
강장제,명사
강적,명사
강적,명사
강점,명사
강점기,명사
강정,명사
강제,명사
강제력,명사
강제적,명사
강제하다,동사
강조,명사
강조되다,동사
강조하다,동사
강종,명사
강좌,명사
강직성,명사
강진,명사
강철,명사
강추위,명사
강타,명사
강타자,명사
강타하다,동사
강탈하다,동사
강태공,명사
강토,명사
강팀,명사
강판,명사
강풍,명사
강하,명사
강하다,형용사
강행,명사
강행되다,동사
강행하다,동사
강호,명사
강화,명사
강화도,명사
강화되다,동사
강화제,명사
강화하다,동사
강황,명사
갖가지,명사
갖다,동사
갖은,관형사
갖추다,동사
같다,형용사
같이,부사
같이하다,동사
같잖다,형용사
갚다,동사
개,명사
개각,명사
개간하다,동사
개개인,명사
개과천선,명사
개관,명사
개관하다,동사
개교,명사
개교하다,동사
개구리,명사
개구쟁이,명사
개국,명사
개국하다,동사
개그,명사
개그맨,명사
개그우먼,명사
개근,명사
개근상,명사
개기름,명사
개꿈,명사
개나리,명사
개년,명사
개념,명사
개념적,명사
개놈,명사
개다,동사
개다래,명사
개다래나무,명사
개도국,명사
개떡,명사
개똥,명사
개띠,명사
개략적,명사
개량,명사
개량되다,동사
개량하다,동사
개런티,명사
개로왕,명사
개론,명사
개막,명사
개막되다,동사
개막식,명사
개막전,명사
개막하다,동사
개망신,명사
개명,명사
개명하다,동사
개미,명사
개미산,명사
개미핥기,명사
개발,명사
개발도상국,명사
개발되다,동사
개발비,명사
개발사,명사
개발새발,부사
개발실장,명사
개발자,명사
개발진,명사
개발하다,동사
개밥,명사
개밥바라기,명사
개방,명사
개방되다,동사
개방성,명사
개방적,명사
개방하다,동사
개방형,명사
개방화,명사
개별,명사
개별적,명사
개복치,명사
개봉,명사
개봉관,명사
개봉되다,동사
개봉영화,명사
개봉작,명사
개봉하다,동사
개비,명사
개뿔,명사
개살구,명사
개새끼,명사
개선,명사
개선되다,동사
개선문,명사
개선안,명사
개선하다,동사
개설,명사
개설되다,동사
개설하다,동사
개성,명사
개성적,명사
개소,명사
개소리,명사
개소리하다,동사
개소하다,동사
개수,명사
개시,명사
개시하다,동사
개신교,명사
개신교도,명사
개악,명사
개업,명사
개업하다,동사
개연성,명사
개요,명사
개운하다,형용사
개울,명사
개울가,명사
